word,phonetic,meaning,meaning_full,unit,theme,root,parts,memory,related,example_en,example_zh
bare,/ber/,adj. 赤裸的；裸露的；空的；仅有的 v. 露出；暴露,adj. 赤裸的；裸露的；空的；仅有的 v. 露出；暴露,Unit 02 必考词,自我,bar,bar 裸露|-e 形容词/动词后缀,核心义为“没有覆盖的”，赤裸的、空的，也指露出、暴露，考研高频词。,naked|exposed|empty|only,He walked barefoot on the soft sand.,他赤脚走在柔软的沙滩上。
barely,/ˈberli/,adv. 仅仅；勉强；几乎不；刚刚,adv. 仅仅；勉强；几乎不；刚刚,Unit 02 必考词,抽象,bar,bar 裸露|-ly 副词后缀,bare的副词，核心义为“几乎没有、勉强”，考研高频副词。,hardly|scarcely|only|just,She could barely speak because she was so nervous.,她紧张得几乎说不出话来。
bargain,/ˈbɑːrɡən/,n. 交易；便宜货；协议 v. 讨价还价；谈判,n. 交易；便宜货；协议 v. 讨价还价；谈判,Unit 02 必考词,社会,bar,bar 交易|-gain 获得,核心义为“交易、讨价还价”，也指便宜货，考研高频词。,deal|negotiate|haggle|agreement,She bought this dress at a very low price, it's a real bargain.,她以很低的价格买了这条裙子，真的很划算。
capable,/ˈkeɪpəbl/,adj. 有能力的；有才能的；能胜任的,adj. 有能力的；有才能的；能胜任的,Unit 02 必考词,自我,cap,cap 拿|-able 形容词后缀,cap是拿，-able能，能拿得住的→有能力的、能胜任的，考研高频词。,ability|competent|skilled|talented,He is a very capable manager, he can handle all kinds of problems.,他是个非常有能力的经理，能处理各种问题。
capacity,/kəˈpæsəti/,n. 能力；容量；容积；才能；生产能力,n. 能力；容量；容积；才能；生产能力,Unit 02 必考词,抽象,cap,cap 拿|-acity 名词后缀,cap是拿，-acity名词，能拿的量→容量、能力，考研核心词。,capable|volume|ability|output,The stadium has a seating capacity of 50,000 people.,这个体育场能容纳5万人。
capital,/ˈkæpɪtl/,n. 首都；首府；资本；资金；大写字母 adj. 首都的；资本的；大写的,n. 首都；首府；资本；资金；大写字母 adj. 首都的；资本的；大写的,Unit 02 必考词,社会,cap,cap 头|-ital 名词/形容词后缀,cap是头，-ital后缀，头的东西→首都、资本，考研核心多义词。,city|fund|money|uppercase,Beijing is the capital of China.,北京是中国的首都。
captive,/ˈkæptɪv/,adj. 被俘虏的；被囚禁的；受控制的 n. 俘虏；囚徒,adj. 被俘虏的；被囚禁的；受控制的 n. 俘虏；囚徒,Unit 02 必考词,社会,cap,cap 拿|-tive 形容词/名词后缀,cap是拿，-tive后缀，被拿住的→被俘虏的、囚徒，考研高频词。,capture|prisoner|hostage|confined,The soldiers tried to rescue the captives from the enemy camp.,士兵们试图从敌人营地救出俘虏。
capture,/ˈkæptʃər/,v. 俘虏；捕获；俘获；拍摄；记录 n. 捕获；俘虏,v. 俘虏；捕获；俘获；拍摄；记录 n. 捕获；俘虏,Unit 02 必考词,社会,cap,cap 拿|-ture 动词/名词后缀,cap是拿，-ture后缀，拿住的动作→捕获、俘虏，也指拍摄、记录，考研核心多义词。,captive|catch|seize|trap,The police managed to capture the criminal after a long chase.,经过长时间的追捕，警察终于抓获了罪犯。
career,/kəˈrɪr/,n. 职业；事业；生涯；经历 adj. 职业的；专业的,n. 职业；事业；生涯；经历 adj. 职业的；专业的,Unit 02 必考词,自我,car,car 跑|-eer 名词后缀,car是跑，-eer名词，一直跑的路→职业、事业、生涯，考研核心词。,job|occupation|profession|vocation,She has had a very successful career as a doctor.,她作为一名医生，事业非常成功。
careful,/ˈkerfl/,adj. 小心的；仔细的；谨慎的；精心的,adj. 小心的；仔细的；谨慎的；精心的,Unit 02 必考词,自我,car,car 关心|-ful 形容词后缀,car是关心，-ful充满，充满关心的→小心的、仔细的，考研高频词。,care|cautious|prudent|attentive,You should be careful when you cross the road.,过马路的时候你要小心。
case,/keɪs/,n. 情况；案例；病例；案件；箱子；盒子,n. 情况；案例；病例；案件；箱子；盒子,Unit 02 必考词,抽象,cas,cas 落下|-e 名词后缀,cas是落下，-e名词，落下的事情→情况、案例、案件，考研核心多义词。,instance|example|situation|box,This is a very special case, we need to deal with it carefully.,这是一个非常特殊的案例，我们需要谨慎处理。
cast,/kæst/,v. 扔；投；掷；抛；铸造；选派角色 n. 投掷；铸件；演员阵容,v. 扔；投；掷；抛；铸造；选派角色 n. 投掷；铸件；演员阵容,Unit 02 必考词,抽象,cast,cast 扔；投,考研高频多义词，核心义为“扔、投”，也指铸造、选派角色，过去式过去分词均为cast。,throw|toss|fling|select,He cast his vote for the new president.,他为新总统投了票。
casual,/ˈkæʒuəl/,adj. 随便的；非正式的；偶然的；不经意的；休闲的,adj. 随便的；非正式的；偶然的；不经意的；休闲的,Unit 02 必考词,自我,cas,cas 落下|-ual 形容词后缀,cas是落下，-ual形容词，偶然落下的→偶然的、随便的、非正式的，考研高频词。,informal|relaxed|occasional|random,We usually wear casual clothes on weekends.,我们周末通常穿休闲装。
casualty,/ˈkæʒuəlti/,n. 伤亡人员；受害者；牺牲品；意外事故,n. 伤亡人员；受害者；牺牲品；意外事故,Unit 02 必考词,社会,cas,cas 落下|-ual|-ty 名词后缀,casual的名词，偶然落下的不幸→伤亡人员、受害者，考研高频词。,victim|fatality|injury|accident,There were no casualties in the car accident.,这场车祸中没有人员伤亡。
category,/ˈkætəɡɔːri/,n. 种类；类别；范畴；等级,n. 种类；类别；范畴；等级,Unit 02 必考词,抽象,cat,cat-加强|gor 集合|-y 名词后缀,核心义为“种类、类别、范畴”，考研高频词。,class|type|group|classification,These books can be divided into different categories according to their subjects.,这些书可以根据主题分为不同的类别。
catch,/kætʃ/,v. 抓住；接住；捕捉；赶上；感染；理解 n. 捕捉；捕获物；陷阱,v. 抓住；接住；捕捉；赶上；感染；理解 n. 捕捉；捕获物；陷阱,Unit 02 必考词,自我,cat,cat 抓|-ch 动词后缀,核心义为“抓住、接住、捕捉”，也指赶上、感染、理解，考研核心多义词。,capture|seize|grab|understand,The cat tried to catch the mouse running across the room.,猫试图抓住从房间里跑过的老鼠。
cater,/ˈkeɪtər/,v. 迎合；满足需要；提供饮食及服务；承办酒席,v. 迎合；满足需要；提供饮食及服务；承办酒席,Unit 02 必考词,社会,cat,cat 抓|-er 动词后缀,核心义为“迎合、满足需要”，也指提供饮食服务，考研高频搭配cater to/for。,serve|provide|accommodate|satisfy,This restaurant caters to all kinds of customers, from young to old.,这家餐厅迎合从年轻人到老年人的各类顾客。
cause,/kɔːz/,n. 原因；起因；理由；事业；目标 v. 引起；导致；使发生,n. 原因；起因；理由；事业；目标 v. 引起；导致；使发生,Unit 02 必考词,抽象,caus,caus 原因|-e 名词/动词后缀,核心义为“原因、起因”，也指引起、导致，考研核心多义词。,reason|origin|lead to|bring about,What is the main cause of this problem?,这个问题的主要原因是什么？
caution,/ˈkɔːʃn/,n. 小心；谨慎；警告；警示 v. 警告；劝…小心,n. 小心；谨慎；警告；警示 v. 警告；劝…小心,Unit 02 必考词,自我,cau,cau 小心|-tion 名词/动词后缀,核心义为“小心、谨慎、警告”，考研高频词。,care|warning|prudence|alert,You should exercise caution when you drive in the rain.,雨天开车要格外小心。
cautious,/ˈkɔːʃəs/,adj. 小心的；谨慎的；慎重的,adj. 小心的；谨慎的；慎重的,Unit 02 必考词,自我,cau,cau 小心|-tious 形容词后缀,caution的形容词，小心的、谨慎的，考研高频词。,caution|careful|prudent|wary,He is a very cautious person, he never makes hasty decisions.,他是个非常谨慎的人，从不做草率的决定。
cease,/siːs/,v. 停止；终止；结束 n. 停止；终止,v. 停止；终止；结束 n. 停止；终止,Unit 02 必考词,抽象,ceas,ceas 停止|-e 动词/名词后缀,核心义为“停止、终止、结束”，考研高频词。,stop|end|terminate|halt,The rain finally ceased after three days of continuous falling.,连续下了三天的雨终于停了。
celebrate,/ˈselɪbreɪt/,v. 庆祝；庆贺；赞美；颂扬,v. 庆祝；庆贺；赞美；颂扬,Unit 02 必考词,自我,celebr,celebr 荣誉|-ate 动词后缀,celebr是荣誉，-ate动词，为荣誉而做→庆祝、庆贺，考研核心词。,celebration|honor|praise|commemorate,We will celebrate our 10th wedding anniversary next month.,下个月我们将庆祝结婚十周年。
celebrity,/səˈlebrəti/,n. 名人；明星；名流；名声；名望,n. 名人；明星；名流；名声；名望,Unit 02 必考词,社会,celebr,celebr 荣誉|-ity 名词后缀,celebr是荣誉，-ity名词，有荣誉的人→名人、明星，考研高频词。,celebrate|star|famous person|fame,Many celebrities attended the opening ceremony of the film festival.,许多名人出席了电影节的开幕式。
ceremony,/ˈserəmoʊni/,n. 典礼；仪式；礼节；礼仪,n. 典礼；仪式；礼节；礼仪,Unit 02 必考词,社会,cerem,cerem 仪式|-ony 名词后缀,核心义为“典礼、仪式、礼节”，考研高频词。,ritual|rite|service|protocol,The opening ceremony of the Olympic Games was very spectacular.,奥运会的开幕式非常壮观。
certain,/ˈsɜːrtn/,adj. 确定的；肯定的；必然的；某一；某些 pron. 某些；某几个,adj. 确定的；肯定的；必然的；某一；某些 pron. 某些；某几个,Unit 02 必考词,抽象,cert,cert 确定|-ain 形容词/代词后缀,cert是确定，-ain后缀，确定的→肯定的、必然的，也指某一、某些，考研核心多义词。,sure|definite|fixed|some,I am certain that he will come to the party on time.,我确定他会准时来参加派对。
certainty,/ˈsɜːrtnti/,n. 确定；肯定；必然；确定的事,n. 确定；肯定；必然；确定的事,Unit 02 必考词,抽象,cert,cert 确定|-ain|-ty 名词后缀,certain的名词，确定、肯定、必然，考研高频词。,certain|surety|definiteness|inevitability,There is no certainty that he will win the game.,他是否会赢得比赛还不确定。
certificate,/sərˈtɪfɪkət/,n. 证书；证明；文凭；合格证 v. 发证书给；证明,n. 证书；证明；文凭；合格证 v. 发证书给；证明,Unit 02 必考词,社会,cert,cert 确定|-ificate 名词/动词后缀,cert是确定，-ificate后缀，确定的文件→证书、证明，考研核心词。,certify|license|diploma|document,She received her bachelor's degree certificate from the university.,她从大学拿到了学士学位证书。
certify,/ˈsɜːrtɪfaɪ/,v. 证明；证实；颁发证书；保证,v. 证明；证实；颁发证书；保证,Unit 02 必考词,社会,cert,cert 确定|-ify 动词后缀,cert是确定，-ify使动，使确定→证明、证实、颁发证书，考研核心词。,certificate|prove|confirm|witness,This document can certify that you are the owner of the house.,这份文件可以证明你是这栋房子的主人。
decline,/dɪˈklaɪn/,v. 下降；衰退；减少；谢绝；拒绝 n. 下降；衰退；减少,v. 下降；衰退；减少；谢绝；拒绝 n. 下降；衰退；减少,Unit 02 必考词,抽象,clin,de-向下|clin 倾斜|-e 动词/名词后缀,clin是倾斜，de向下，向下倾斜→下降、衰退、减少，也指谢绝、拒绝，考研核心多义词。,decrease|fall|drop|refuse,The number of tourists has declined sharply this year.,今年游客数量大幅下降。
decree,/dɪˈkriː/,n. 法令；政令；判决；裁定 v. 颁布法令；判决；裁定,n. 法令；政令；判决；裁定 v. 颁布法令；判决；裁定,Unit 02 必考词,社会,cre,de-加强|cre 确定|-e 名词/动词后缀,cre是确定，de加强，确定的命令→法令、政令，也指判决、裁定，考研高频词。,order|law|judgment|ruling,The government issued a decree to ban the use of plastic bags.,政府颁布了一项禁止使用塑料袋的法令。
deem,/diːm/,v. 认为；视为；相信；判断,v. 认为；视为；相信；判断,Unit 02 必考词,抽象,deem,deem 认为；判断,考研高频核心词，核心义为“认为、视为、判断”，搭配deem sth/sb + adj/n。,think|consider|believe|judge,She deems it very important to learn English well.,她认为学好英语非常重要。
dedicate,/ˈdedɪkeɪt/,v. 致力于；献身于；把…用于；题献,v. 致力于；献身于；把…用于；题献,Unit 02 必考词,自我,dic,de-加强|dic 说|-ate 动词后缀,dic是说，de加强，坚定地说→致力于、献身于，考研核心词。,dedication|devote|commit|contribute,He dedicated his whole life to helping the poor people in the mountain areas.,他毕生致力于帮助山区的穷人。
deduce,/dɪˈduːs/,v. 推论；推断；演绎；得出结论,v. 推论；推断；演绎；得出结论,Unit 02 必考词,抽象,duc,de-向下|duc 引导|-e 动词后缀,duc是引导，de向下，一步步引导下来→推论、推断、演绎，考研核心词。,deduction|infer|conclude|reason,We can deduce a lot of information from the data we collected.,我们可以从收集到的数据中推断出很多信息。
deduct,/dɪˈdʌkt/,v. 扣除；减去；演绎；推导,v. 扣除；减去；演绎；推导,Unit 02 必考词,抽象,duc,de-向下|duc 引导|-t 动词后缀,duc是引导，de向下，从总数里引导下来→扣除、减去，也指演绎、推导，考研高频词。,deduction|subtract|take away|derive,The company will deduct tax from your salary every month.,公司每个月都会从你的工资里扣除税款。
fashion,/ˈfæʃn/,n. 时尚；时装；流行款式；方式；样子 v. 制作；塑造；使适应,n. 时尚；时装；流行款式；方式；样子 v. 制作；塑造；使适应,Unit 02 必考词,社会,fac,fac 做|-ion 名词后缀,fac是做，-ion名词，做出来的流行样式→时尚、时装，也指制作、塑造，考研核心多义词。,fashionable|style|trend|make,This kind of dress is very much in fashion this year.,这种裙子今年非常流行。
fashionable,/ˈfæʃnəbl/,adj. 流行的；时髦的；时尚的；赶时髦的,adj. 流行的；时髦的；时尚的；赶时髦的,Unit 02 必考词,社会,fac,fac 做|-ion|-able 形容词后缀,fashion的形容词，流行的、时髦的、时尚的，考研高频词。,fashion|trendy|stylish|popular,She always wears fashionable clothes to work.,她总是穿时髦的衣服去上班。
favor,/ˈfeɪvər/,n. 喜爱；偏爱；赞同；支持；恩惠 v. 喜爱；偏爱；赞同；支持；有利于,n. 喜爱；偏爱；赞同；支持；恩惠 v. 喜爱；偏爱；赞同；支持；有利于,Unit 02 必考词,自我,fav,fav 喜爱|-or 名词/动词后缀,核心义为“喜爱、偏爱、赞同、支持”，也指恩惠、有利于，考研核心多义词。,favorable|favorite|like|prefer,Most people favor the new policy proposed by the government.,大多数人支持政府提出的新政策。
favorable,/ˈfeɪvərəbl/,adj. 有利的；良好的；赞成的；赞许的；讨人喜欢的,adj. 有利的；良好的；赞成的；赞许的；讨人喜欢的,Unit 02 必考词,抽象,fav,fav 喜爱|-or|-able 形容词后缀,favor的形容词，有利的、良好的、赞成的，考研高频词。,favor|beneficial|advantageous|positive,We have received a favorable response from our customers.,我们收到了客户的积极反馈。
favorite,/ˈfeɪvərɪt/,adj. 最喜爱的；最喜欢的 n. 最喜爱的人/物；宠儿；热门人选,adj. 最喜爱的；最喜欢的 n. 最喜爱的人/物；宠儿；热门人选,Unit 02 必考词,自我,fav,fav 喜爱|-or|-ite 形容词/名词后缀,favor的最高级相关，最喜爱的、最喜欢的，也指最喜爱的人/物，考研核心词。,favor|preferred|beloved|top choice,This is my favorite book, I have read it many times.,这是我最喜欢的书，我已经读了很多遍了。
rite,/raɪt/,n. 仪式；典礼；习俗；惯例,n. 仪式；典礼；习俗；惯例,Unit 02 必考词,社会,rit,rit 仪式|-e 名词后缀,核心义为“仪式、典礼、习俗”，考研高频词。,ritual|ceremony|custom|tradition,This is an ancient rite that has been passed down for hundreds of years.,这是一个流传了数百年的古老仪式。
site,/saɪt/,n. 地点；位置；场所；遗址；网站 v. 使坐落于；设置,n. 地点；位置；场所；遗址；网站 v. 使坐落于；设置,Unit 02 必考词,抽象,sit,sit 坐|-e 名词/动词后缀,sit是坐，-e后缀，坐下的地方→地点、位置、场所，也指网站，考研核心多义词。,location|place|position|website,This is the perfect site for our new factory.,这是我们建新工厂的完美地点。
situate,/ˈsɪtʃueɪt/,v. 使坐落于；使位于；把…置于；使处于,v. 使坐落于；使位于；把…置于；使处于,Unit 02 必考词,抽象,sit,sit 坐|-uate 动词后缀,sit是坐，-uate使动，使坐下→使坐落于、使位于，考研高频词。,site|locate|place|position,The hotel is situated in the center of the city, very close to the shopping mall.,酒店位于市中心，离购物中心非常近。
situation,/ˌsɪtʃuˈeɪʃn/,n. 情况；状况；形势；局面；位置；场所,n. 情况；状况；形势；局面；位置；场所,Unit 02 必考词,抽象,sit,sit 坐|-uation 名词后缀,situate的名词，坐的状态→情况、状况、形势、局面，考研核心词。,situate|condition|state|circumstance,We need to deal with this difficult situation as soon as possible.,我们需要尽快处理这个困难的局面。
skeleton,/ˈskelɪtn/,n. 骨骼；骨架；骷髅；梗概；轮廓 adj. 骨骼的；骨瘦如柴的,n. 骨骼；骨架；骷髅；梗概；轮廓 adj. 骨骼的；骨瘦如柴的,Unit 02 必考词,自然与科学,skelet,skelet 干|-on 名词后缀,核心义为“骨骼、骨架、骷髅”，也指梗概、轮廓，考研高频词。,bone|frame|outline|summary,The doctor looked at the X-ray of the patient's skeleton.,医生看了病人的骨骼X光片。
skeptical,/ˈskeptɪkl/,adj. 怀疑的；持怀疑态度的；不相信的,adj. 怀疑的；持怀疑态度的；不相信的,Unit 02 必考词,自我,skept,skept 看|-ical 形容词后缀,skept是看，-ical形容词，用怀疑的眼光看的→怀疑的、持怀疑态度的，考研高频词。,doubtful|suspicious|unbelieving|distrustful,He is skeptical about the results of the experiment, he wants to do it again.,他对实验结果持怀疑态度，想再做一次。
sketch,/sketʃ/,n. 素描；速写；草图；梗概；小品 v. 画素描；画速写；草拟；概述,n. 素描；速写；草图；梗概；小品 v. 画素描；画速写；草拟；概述,Unit 02 必考词,抽象,skech,skech 画|- 名词/动词后缀,核心义为“素描、速写、草图”，也指草拟、概述，考研高频词。,draw|draft|outline|summary,She drew a sketch of the beautiful scenery in front of her.,她为眼前的美景画了一幅速写。
embrace,/ɪmˈbreɪs/,v. 拥抱；怀抱；接受；采纳；信奉；包含 n. 拥抱；怀抱；接受,v. 拥抱；怀抱；接受；采纳；信奉；包含 n. 拥抱；怀抱；接受,Unit 03 必考词,自我,brac,em-进入|brac 手臂|-e 动词/名词后缀,brac是手臂，em进入，进入手臂→拥抱、怀抱，也指接受、采纳，考研核心多义词。,hug|hold|accept|adopt,She embraced her mother tightly when she saw her at the airport.,她在机场看到妈妈时，紧紧地抱住了她。
embed,/ɪmˈbed/,v. 把…嵌入；把…插入；使深留脑中；使扎根,v. 把…嵌入；把…插入；使深留脑中；使扎根,Unit 03 必考词,抽象,bed,em-进入|bed 床|- 动词后缀,bed是床，em进入，进入床里→嵌入、插入，也指使深留脑中，考研高频词。,implant|insert|set|root,The arrow embedded itself in the wall of the house.,箭深深地嵌入了房子的墙壁里。
embody,/ɪmˈbɑːdi/,v. 使具体化；使形象化；体现；包含；收录,v. 使具体化；使形象化；体现；包含；收录,Unit 03 必考词,抽象,body,em-进入|body 身体|- 动词后缀,body是身体，em进入，进入身体→使具体化、体现，考研核心词。,embodiment|represent|manifest|contain,This painting embodies the artist's love for nature.,这幅画体现了艺术家对自然的热爱。
embryo,/ˈembrioʊ/,n. 胚胎；胚芽；初期阶段；萌芽状态 adj. 胚胎的；初期的,n. 胚胎；胚芽；初期阶段；萌芽状态 adj. 胚胎的；初期的,Unit 03 必考词,自然与科学,bryo,em-进入|bryo 发芽|-o 名词/形容词后缀,bryo是发芽，em进入，进入发芽状态→胚胎、胚芽，也指初期阶段，考研高频词。,fetus|germ|bud|early stage,The embryo develops into a fetus in the mother's womb.,胚胎在母亲的子宫里发育成胎儿。
elicit,/ɪˈlɪsɪt/,v. 引出；探出；诱出；使发出；使显露,v. 引出；探出；诱出；使发出；使显露,Unit 03 必考词,抽象,licit,e-加强|licit 引导|- 动词后缀,licit是引导，e加强，引导出来→引出、探出、诱出，考研高频词。,evoke|draw out|induce|reveal,The teacher tried to elicit the correct answer from the students.,老师试图引导学生说出正确答案。
elite,/eɪˈliːt/,n. 精英；杰出人物；上层集团 adj. 精英的；杰出的；精锐的,n. 精英；杰出人物；上层集团 adj. 精英的；杰出的；精锐的,Unit 03 必考词,社会,elit,elit 选择|-e 名词/形容词后缀,elit是选择，-e后缀，被选出来的人→精英、杰出人物，也指精英的，考研高频词。,best|outstanding|excellent|top group,He is one of the elite athletes in the country, he has won many gold medals.,他是国内的精英运动员之一，赢得了许多金牌。
elsewhere,/ˌelsˈwer/,adv. 在别处；到别处；在其他地方,adv. 在别处；到别处；在其他地方,Unit 03 必考词,抽象,else,else 其他|where 哪里,核心义为“在别处、到别处、在其他地方”，考研高频副词。,somewhere else|in other places|abroad,If you don't like this restaurant, we can go elsewhere for dinner.,如果你不喜欢这家餐厅，我们可以去别的地方吃晚饭。
thirst,/θɜːrst/,n. 渴；口渴；渴望；渴求 v. 渴；口渴；渴望；渴求,n. 渴；口渴；渴望；渴求 v. 渴；口渴；渴望；渴求,Unit 03 必考词,自我,thirst,thirst 渴,核心义为“渴、口渴”，也指渴望、渴求，考研高频多义词。,thirsty|desire|crave|long for,After running for a long time, he had a strong thirst for water.,跑了很长时间后，他非常想喝水。
thorough,/ˈθɜːroʊ/,adj. 彻底的；完全的；全面的；仔细的；缜密的,adj. 彻底的；完全的；全面的；仔细的；缜密的,Unit 03 必考词,抽象,thor,thor 穿过|-ough 形容词后缀,thor是穿过，-ough后缀，全部穿过的→彻底的、完全的、全面的，考研高频词。,thoroughly|complete|total|careful,We need to do a thorough check of the machine before we use it.,使用机器前，我们需要对它进行彻底的检查。
though,/ðoʊ/,conj. 虽然；尽管；即使 adv. 可是；不过；然而,conj. 虽然；尽管；即使 adv. 可是；不过；然而,Unit 03 必考词,抽象,though,though 虽然；尽管,考研高频核心连词，核心义为“虽然、尽管、即使”，也可作副词表“可是、不过”。,although|even though|but|however,Though he is very young, he is very experienced in this field.,虽然他很年轻，但在这个领域却非常有经验。
thought,/θɔːt/,n. 思想；想法；念头；思考；思维 v. 想；认为；思考（think的过去式过去分词）,n. 思想；想法；念头；思考；思维 v. 想；认为；思考（think的过去式过去分词）,Unit 03 必考词,抽象,thought,thought 思想；思考,核心义为“思想、想法、思考”，也是think的过去式过去分词，考研核心多义词。,think|idea|opinion|thinking,She was lost in thought and didn't hear what I said.,她陷入了沉思，没听到我说的话。
thoughtful,/ˈθɔːtfl/,adj. 深思的；思考的；体贴的；关心的；缜密的,adj. 深思的；思考的；体贴的；关心的；缜密的,Unit 03 必考词,自我,thought,thought 思想|-ful 形容词后缀,thought的形容词，深思的、体贴的、缜密的，考研高频词。,thought|considerate|caring|prudent,He is a very thoughtful person, he always remembers his friends' birthdays.,他是个非常体贴的人，总是记得朋友们的生日。
threaten,/ˈθretn/,v. 威胁；恐吓；预示；有…危险；危及,v. 威胁；恐吓；预示；有…危险；危及,Unit 03 必考词,社会,threat,threat 威胁|-en 动词后缀,threat是威胁，-en使动，使受到威胁→威胁、恐吓、预示危险，考研核心词。,threat|intimidate|menace|endanger,The man threatened to call the police if the thief didn't return the bag.,小偷不还包的话，这个男人就威胁要报警。
update,/ˌʌpˈdeɪt/ v. /ˈʌpdeɪt/ n.,v. 更新；升级；刷新；使现代化 n. 更新；升级；最新消息,v. 更新；升级；刷新；使现代化 n. 更新；升级；最新消息,Unit 03 必考词,抽象,date,up-向上|date 日期|- 动词/名词后缀,date是日期，up向上，日期向上走→更新、升级，也指最新消息，考研核心多义词。,upgrade|refresh|modernize|latest news,I need to update my phone's operating system to the latest version.,我需要把手机的操作系统更新到最新版本。
upgrade,/ˌʌpˈɡreɪd/ v. /ˈʌpɡreɪd/ n.,v. 升级；提升；改善；提高档次 n. 升级；提升；改善,v. 升级；提升；改善；提高档次 n. 升级；提升；改善,Unit 03 必考词,抽象,grade,up-向上|grade 等级|- 动词/名词后缀,grade是等级，up向上，等级向上走→升级、提升、改善，考研核心多义词。,update|improve|enhance|promotion,The company decided to upgrade the security system of the office building.,公司决定升级办公楼的安保系统。
uphold,/ʌpˈhoʊld/,v. 支持；维护；维持；坚持；拥护,v. 支持；维护；维持；坚持；拥护,Unit 03 必考词,社会,hold,up-向上|hold 拿|- 动词后缀,hold是拿，up向上，向上拿住→支持、维护、维持、坚持，考研核心词。,support|maintain|defend|uphold the law,We should always uphold the principle of equality between men and women.,我们应该始终坚持男女平等的原则。
upset,/ʌpˈset/ v. /ˈʌpset/ adj.,v. 使心烦；使苦恼；使生气；打翻；弄翻 adj. 心烦的；苦恼的；生气的；沮丧的,v. 使心烦；使苦恼；使生气；打翻；弄翻 adj. 心烦的；苦恼的；生气的；沮丧的,Unit 03 必考词,情感,set,up-向上|set 放|- 动词/形容词后缀,set是放，up向上，放翻了→打翻、弄翻，也指使心烦、生气，考研核心多义词。,disturb|annoy|angry|frustrated,She was very upset because she failed the English exam.,她因为英语考试不及格而非常心烦。
up-to-date,/ˌʌp tə ˈdeɪt/,adj. 最新的；现代化的；紧跟潮流的；包含最新信息的,adj. 最新的；现代化的；紧跟潮流的；包含最新信息的,Unit 03 必考词,抽象,date,up-向上|to 到|date 日期,核心义为“最新的、现代化的、紧跟潮流的”，考研高频形容词。,latest|modern|current|up-to-the-minute,This book is very up-to-date, it includes all the latest developments in this field.,这本书非常新，包含了这个领域所有的最新进展。
ventilate,/ˈventɪleɪt/,v. 使通风；使透气；公开讨论；自由表达,v. 使通风；使透气；公开讨论；自由表达,Unit 03 必考词,自然与科学,vent,vent 风|-ilate 动词后缀,vent是风，-ilate使动，使有风进来→使通风、使透气，也指公开讨论，考研高频词。,vent|air|aerate|discuss,We should open the windows to ventilate the room every morning.,我们每天早上都应该开窗给房间通风。
venture,/ˈventʃər/,n. 冒险；冒险行动；企业；投机活动 v. 冒险；敢于；大胆行事；投机,n. 冒险；冒险行动；企业；投机活动 v. 冒险；敢于；大胆行事；投机,Unit 03 必考词,自我,vent,vent 来|-ure 名词/动词后缀,vent是来，-ure后缀，来到未知的地方→冒险、冒险行动，也指企业、投机，考研核心多义词。,adventure|risk|gamble|undertaking,He decided to venture into the forest alone to find the rare plant.,他决定独自冒险进入森林寻找那种稀有植物。
widespread,/ˈwaɪdspred/,adj. 普遍的；广泛的；分布广的；流传广的,adj. 普遍的；广泛的；分布广的；流传广的,Unit 03 必考词,抽象,wide,wide 宽的|spread 传播,核心义为“普遍的、广泛的、分布广的”，考研高频形容词。,common|universal|extensive|far-reaching,There is a widespread belief that smoking is harmful to health.,人们普遍认为吸烟有害健康。
win,/wɪn/,v. 赢；赢得；获胜；获得；取得 n. 赢；胜利；获胜,v. 赢；赢得；获胜；获得；取得 n. 赢；胜利；获胜,Unit 03 必考词,自我,win,win 赢；获胜,考研高频核心词，核心义为“赢、赢得、获胜、获得”，过去式won，过去分词won。,victory|triumph|gain|achieve,Our team won the football match yesterday, we were all very excited.,我们队昨天赢了足球比赛，我们都非常兴奋。
wit,/wɪt/,n. 机智；风趣；智慧；才能；妙语,n. 机智；风趣；智慧；才能；妙语,Unit 03 必考词,自我,wit,wit 智慧；机智,核心义为“机智、风趣、智慧、才能”，考研高频词。,wisdom|intelligence|humor|cleverness,He is a man of great wit, he always makes people laugh with his funny jokes.,他是个非常风趣的人，总是用有趣的笑话逗大家笑。
withdraw,/wɪðˈdrɔː/,v. 撤回；退出；离开；收回；提取；取款,v. 撤回；退出；离开；收回；提取；取款,Unit 03 必考词,抽象,draw,with-向后|draw 拉|- 动词后缀,draw是拉，with向后，向后拉→撤回、退出、离开，也指收回、提取，考研核心词。,retreat|pull back|exit|take out,He decided to withdraw from the competition because of his injury.,他因为受伤决定退出比赛。
witness,/ˈwɪtnəs/,n. 目击者；证人；见证者；证据 v. 目击；见证；经历；证明,n. 目击者；证人；见证者；证据 v. 目击；见证；经历；证明,Unit 03 必考词,社会,wit,wit 看|-ness 名词/动词后缀,wit是看，-ness后缀，看到的人→目击者、证人，也指目击、见证，考研核心多义词。,see|observe|watcher|testimony,She was the only witness of the car accident, she saw everything that happened.,她是这场车祸的唯一目击者，看到了发生的一切。
inaugurate,/ɪˈnɔːɡjəreɪt/,v. 为…举行就职典礼；为…举行落成仪式；开创；开启,v. 为…举行就职典礼；为…举行落成仪式；开创；开启,Unit 03 必考词,社会,augur,in-进入|augur 预示|-ate 动词后缀,augur是预示，in进入，进入预示的新开始→为…举行就职典礼、开创，考研高频词。,inauguration|open|launch|commence,The new president will be inaugurated next month.,新总统将于下月举行就职典礼。
